type_text,dummy_var,stat,value
main_text,has_preventa,sum,92
main_text,has_preventa,mean,0.09378185524974515
main_text,has_roof,sum,28
main_text,has_roof,mean,0.02854230377166157
main_text,has_tecmty,sum,43
main_text,has_tecmty,mean,0.04383282364933741
main_text,has_new,sum,19
main_text,has_new,mean,0.019367991845056064
description,has_roof,sum,662
description,has_roof,mean,0.6748216106014271
description,has_luxury,sum,272
description,has_luxury,mean,0.27726809378185524
description,has_secure,sum,337
description,has_secure,mean,0.3435270132517839
description,has_centric,sum,471
description,has_centric,mean,0.4801223241590214
description,has_elevator,sum,263
description,has_elevator,mean,0.26809378185524974
description,has_gym,sum,128
description,has_gym,mean,0.1304791029561672
